STT;CODE;Đã thuộc;SENTENCE;MEANING
1;#WFD0010;FALSE;Important details from the argument are missing in the summary.;Các bài giảng ngày hôm nay tập trung vào lĩnh vực biến đổi khí hậu toàn cầu.
2;#WFD0012;FALSE;The library will be closed for staff training tomorrow morning.;Thư viện sẽ đóng cửa vào sáng mai để tập huấn nhân viên.
3;#WFD0037;FALSE;The most popular courses still have a few places left.;Các bài luận và bài tập được phân bố suốt năm học
4;#WFD0055;FALSE;Essays and assignments are spread out across the academic year.;Có một bài tập kế toán cho sinh viên ngành tài chính
5;#WFD0079;FALSE;Experts are now able to forecast weather over much longer periods.;Các chuyên gia hiện đã có thể dự báo thời tiết trong những khoảng thời gian dài hơn nhiều.
6;#WFD0087;FALSE;Philosophy uses logic and reasons to analyze human experience.;Triết học sử dụng logic và lý trí để phân tích trải nghiệm của con người.
7;#WFD0093;FALSE;Participating in the class is the center of the course.;Tham gia lớp học là trung tâm của khóa học.
8;#WFD0095;FALSE;Geography is generally divided into two main branches: human and physical.;Địa lý thường được chia thành hai nhánh chính: địa lý nhân văn và địa lý tự nhiên.
9;#WFD0097;FALSE;We have a lecture in the morning on Thursday.;Chúng tôi có một buổi giảng vào sáng thứ Năm.
10;#WFD0105;FALSE;The north campus car park could be closed on Sunday.;Bãi đậu xe phía bắc khuôn viên trường có thể sẽ đóng cửa vào Chủ nhật.
11;#WFD0138;FALSE;The university has invested in new technologies designed to support learning.;Trường đại học đã đầu tư vào các công nghệ mới được thiết kế để hỗ trợ việc học tập.
12;#WFD0171;FALSE;Daily practice can build confidence and improve skills.;Luyện tập hàng ngày có thể giúp xây dựng sự tự tin và cải thiện kỹ năng.
13;#WFD0197;FALSE;Music has the ability to shape our emotions.;Âm nhạc có khả năng định hình cảm xúc của chúng ta.
14;#WFD0296;FALSE;Banks charge interest on the money they lend to customers.;Các ngân hàng tính lãi đối với số tiền họ cho khách hàng vay.
15;#WFD0320;FALSE;The digital camera has some advantages over traditional film.;Máy ảnh kỹ thuật số có một số ưu điểm so với máy ảnh dùng phim truyền thống.
16;#WFD0321;FALSE;Academic libraries across the world are steadily incorporating social media.;Các thư viện học thuật trên khắp thế giới đang dần tích hợp mạng xã hội.
17;#WFD0354;FALSE;Food containing ample calories provides little or no nutritional value.;Thực phẩm chứa nhiều calo thường mang lại rất ít hoặc không có giá trị dinh dưỡng.
18;#WFD0367;FALSE;Physics is the key subject to understanding the world and the universe.;Vật lý là môn học then chốt để thấu hiểu thế giới và vũ trụ.
19;#WFD0378;FALSE;Students have the options to live in college residences or apartments.;Sinh viên có các lựa chọn cư trú tại ký túc xá hoặc căn hộ.
20;#WFD0381;FALSE;Our courses help improve critical thinking and independent learning skills.;Các khóa học của chúng tôi giúp cải thiện tư duy phản biện và kỹ năng tự học.
21;#WFD0407;FALSE;Affordable housing is an important issue for all members of society.;Nhà ở giá cả phải chăng là một vấn đề quan trọng đối với mọi thành viên trong xã hội.
22;#WFD0446;FALSE;Social media is criticized for causing Internet addiction.;Mạng xã hội bị chỉ trích vì gây nghiện Internet.
23;#WFD0452;FALSE;There is a pharmacy on campus near the bookstore.;Có một hiệu thuốc trong khuôn viên trường, nằm gần hiệu sách.
24;#WFD0498;FALSE;A good architectural structure should be useful, durable and beautiful.;Một công trình kiến ​​trúc tốt cần phải hữu dụng, bền vững và đẹp mắt.
25;#WFD0499;FALSE;New materials and techniques are changing the style of modern architecture.;Các vật liệu và kỹ thuật mới đang thay đổi phong cách kiến ​​trúc hiện đại.
26;#WFD0502;FALSE;Statistical results should be expressed in different ways depending on the circumstances.;Các kết quả thống kê cần được trình bày theo những cách khác nhau tùy thuộc vào hoàn cảnh.
27;#WFD0518;FALSE;Students will focus on reporting news on changing the media world.;Sinh viên sẽ tập trung vào việc đưa tin về những thay đổi trong thế giới truyền thông.
28;#WFD0528;FALSE;Human beings compete with other living things for resources and space.;Con người cạnh tranh với các sinh vật sống khác để giành lấy tài nguyên và không gian sống.
29;#WFD0574;FALSE;Dealing with the growing population is a challenge for many governments.;Giải quyết vấn đề dân số ngày càng tăng là một thách thức đối với nhiều chính phủ.
30;#WFD0611;FALSE;The museum is closed on the third Monday of every month.;Bảo tàng đóng cửa vào thứ Hai thứ ba của mỗi tháng.
31;#WFD0666;FALSE;The student shop sells a range of stationery.;Cửa hàng dành cho sinh viên bán nhiều loại văn phòng phẩm.
32;#WFD0670;FALSE;Our professor is hosting the business development conference.;Giáo sư của chúng tôi đang chủ trì hội nghị phát triển kinh doanh.
33;#WFD0679;FALSE;The rising temperature is changing the wildlife population.;Nhiệt độ tăng cao đang làm thay đổi quần thể động vật hoang dã.
34;#WFD0691;FALSE;The massive accumulation of data was converted into a communicable argument.;Lượng dữ liệu khổng lồ đã được chuyển đổi thành một lập luận dễ hiểu.
35;#WFD0719;FALSE;Traffic is the main cause of air pollution in many cities.;Giao thông là nguyên nhân chính gây ô nhiễm không khí tại nhiều thành phố.
36;#WDF0724;FALSE;Students should take the training course to use the gym.;Sinh viên cần tham gia khóa đào tạo để được phép sử dụng phòng tập thể dục.
