STT;CODE;Đã thuộc;SENTENCE;MEANING
1;#WFD0012;FALSE;The library will be closed for staff training tomorrow morning.;Thư viện sẽ đóng cửa để đào tạo nhân viên vào sáng mai.
2;#WFD0037;FALSE;The most popular courses still have a few places left.;Các khóa học phổ biến nhất vẫn còn một vài chỗ trống.
3;#WFD0055;FALSE;Essays and assignments are spread out across the academic year.;Các bài luận và bài tập được phân bổ rải rác trong suốt năm học.
4;#WFD0057;FALSE;There is an accounting assignment for finance students.;Có một bài tập kế toán dành cho sinh viên ngành tài chính.
5;#WFD0079;FALSE;Experts are now able to forecast weather over much longer periods.;Các chuyên gia hiện nay có thể dự báo thời tiết trong thời gian dài hơn nhiều.
6;#WFD0087;FALSE;Philosophy uses logic and reasons to analyze human experience.;Triết học sử dụng logic và lý lẽ để phân tích kinh nghiệm của con người.
7;#WFD0093;FALSE;Participating in the class is the center of the course.;Việc tham gia vào các hoạt động trên lớp là trọng tâm của khóa học.
8;#WFD0095;FALSE;Geography is generally divided into two main branches: human and physical.;Địa lý thường được chia thành hai nhánh chính: địa lý nhân văn và địa lý tự nhiên.
9;#WFD0097;FALSE;We have a lecture in the morning on Thursday.;Chúng ta có một bài giảng vào sáng thứ Năm.
10;#WFD0099;FALSE;Observers waited nervously and with bated breath for the concert.;Khán giả hồi hộp chờ đợi buổi hòa nhạc.
11;#WFD0105;FALSE;The north campus car park could be closed on Sunday.;Bãi đậu xe phía bắc khuôn viên trường có thể đóng cửa vào Chủ nhật.
12;#WFD0138;FALSE;The university has invested in new technologies designed to support learning.;Trường đại học đã đầu tư vào các công nghệ mới được thiết kế để hỗ trợ việc học tập.
13;#WFD0144;FALSE;Computer science has become a popular university degree course.;Khoa học máy tính đã trở thành một ngành học phổ biến ở bậc đại học.
14;#WFD0171;FALSE;Daily practice can build confidence and improve skills.;Luyện tập hàng ngày có thể giúp xây dựng sự tự tin và cải thiện kỹ năng.
15;#WFD0198;FALSE;Annual reports can give important information on company finances.;Báo cáo thường niên có thể cung cấp thông tin quan trọng về tình hình tài chính của công ty.
16;#WFD0296;FALSE;Banks charge interest on the money they lend to customers.;Các ngân hàng tính lãi suất đối với số tiền họ cho khách hàng vay.
17;#WFD0320;FALSE;The digital camera has some advantages over traditional film.;Máy ảnh kỹ thuật số có một số ưu điểm so với máy ảnh phim truyền thống.
18;#WFD0321;FALSE;Academic libraries across the world are steadily incorporating social media.;Các thư viện học thuật trên toàn thế giới đang dần tích hợp mạng xã hội.
19;#WFD0328;FALSE;Participants initially select from a range of foundation subjects.;Ban đầu, người tham gia sẽ lựa chọn từ một loạt các môn học cơ bản.
20;#WFD0350;FALSE;Artists, other than politicians, played their own roles as critics of the culture.;Ngoài các chính trị gia, các nghệ sĩ cũng đóng vai trò riêng của mình như những nhà phê bình văn hóa.
21;#WFD0354;FALSE;Food containing ample calories provides little or no nutritional value.;Thực phẩm chứa nhiều calo lại cung cấp rất ít hoặc không có giá trị dinh dưỡng.
22;#WFD0367;FALSE;Physics is the key subject to understanding the world and the universe.;Vật lý là môn học then chốt để hiểu về thế giới và vũ trụ.
23;#WFD0378;FALSE;Students have the options to live in college residences or apartments.;Sinh viên có thể lựa chọn sống trong ký túc xá của trường hoặc ở trong các căn hộ.
